config,model_path,module_id,component,layer_idx,operator,phase,flow_step,tensor_role,attention_kind,calls,total_elements_reported,zero_elements_reported,zero_rate_reported,protected_elements,fp_sidepath_ratio,total_elements_native,zero_elements_native,zero_rate_native,total_bits_reported,sparse_bits_reported,sparse_bit_rate_reported,protected_bits,total_bits_native,sparse_bits_native,sparse_bit_rate_native,amplitude_zero_bits_native,amplitude_zero_bit_rate_native,ideal_sparse_upper_bound
,,expert.layer.0.qk,expert,0,qk,denoise,8,O,self,1465,249416250,2203270,0.008833706705156541,2197500,0.00881057268722467,247218750,5770,2.3339653646820882e-05,997665000,504272927,0.505453160128901,8790000,988875000,495482927,0.5010571882189356,495482927,0.5010571882189356,2.004237712996252
,,expert.layer.0.qk,expert,0,qk,denoise,9,A,self,1465,70320000,1099826,0.015640301478953355,1098750,0.015625,69221250,1076,1.5544359571663327e-05,281280000,151489395,0.5385715123720136,4395000,276885000,147094395,0.5312472506636329,147094395,0.5312472506636329,2.1333208208714334
,,expert.layer.0.qk,expert,0,qk,denoise,9,B,self,1465,319252800,8175084,0.02560692968080468,8170911,0.025593858534678476,311081889,4173,1.3414474283329301e-05,1277011200,683279061,0.5350611341545007,32683644,1244327556,650595417,0.5228489989335252,650595417,0.5228489989335252,2.0957726123699025
,,expert.layer.0.qk,expert,0,qk,denoise,9,O,self,1465,249416250,2204249,0.008837631870417424,2197500,0.00881057268722467,247218750,6749,2.7299709265579574e-05,997665000,520639190,0.5218577277943999,8790000,988875000,511849190,0.5176075742636835,511849190,0.5176075742636835,2.0730010395035023
,,expert.layer.1.pv,expert,1,pv,denoise,0,A,cross,1465,194478750,72891444,0.37480415726653943,1098750,0.005649717514124294,193380000,71792694,0.3712519081600993,777915000,609571579,0.7835966384502163,4395000,773520000,605176579,0.7823670738959562,605176579,0.7823670738959562,4.594892959909613
,,expert.layer.1.pv,expert,1,pv,denoise,0,B,cross,1465,248932800,4435908,0.01781970073851256,4426956,0.017783739226007983,244505844,8952,3.6612621823468565e-05,995731200,530999625,0.5332760739042826,17707824,978023376,513291801,0.5248256980311685,513291801,0.5248256980311685,2.104490911769875
,,expert.layer.1.pv,expert,1,pv,denoise,0,O,cross,1465,70320000,1100859,0.015654991467576793,1098750,0.015625,69221250,2109,3.0467522617693267e-05,281280000,148572353,0.5282009136803185,4395000,276885000,144177353,0.5207120392942919,144177353,0.5207120392942919,2.086428372887962
,,expert.layer.1.pv,expert,1,pv,denoise,1,A,cross,1465,194478750,73618559,0.37854294620877604,1098750,0.005649717514124294,193380000,72519809,0.3750119402213259,777915000,610746951,0.785107564451129,4395000,773520000,606351951,0.7838865847036922,606351951,0.7838865847036922,4.627200021937206
,,expert.layer.1.pv,expert,1,pv,denoise,1,B,cross,1465,248932800,4440459,0.017837982780895083,4431507,0.017802021268390505,244501293,8952,3.661330330878864e-05,995731200,531006702,0.5332831812440948,17726028,978005172,513280674,0.5248240895805815,513280674,0.5248240895805815,2.1044837881561387
,,expert.layer.1.pv,expert,1,pv,denoise,1,O,cross,1465,70320000,1100916,0.01565580204778157,1098750,0.015625,69221250,2166,3.129096917492822e-05,281280000,148587246,0.5282538609215017,4395000,276885000,144192246,0.5207658269678748,144192246,0.5207658269678748,2.0866625467732773
